stair.thisTrialN,stair.stepSize,stair.intensity,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,13.965935374999844,14.523708916000032,14.523708916000032,14.528767124999831,14.811141207999754,right,10.0,1,1,0.6339531670000724,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
1,2,8.0,15.220312832999753,15.688863082999887,15.688863082999887,15.711107499999798,15.978565999999773,left,-8.0,1,1,0.46028637500012337,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
2,2,6.0,16.167437999999947,16.655811290999736,16.655811290999736,16.661789082999803,16.94528745799971,left,-6.0,1,1,0.35324766700023247,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
3,2,4.0,17.022522915999616,17.505595332999746,17.505595332999746,17.51171075000002,17.795417040999837,right,4.0,1,1,0.3268835410003703,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
4,2,2.0,17.850709625000036,18.339291499999945,18.339291499999945,18.34535991599978,18.628746082999896,right,2.0,1,1,0.3840629999999692,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
5,2,1.0,18.734982874999787,19.222552540999914,19.222552540999914,19.228674707999744,19.512105625000004,left,-1.0,1,1,0.36699716700013596,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
6,2,1.0,19.60060999999996,20.08957916600002,20.08957916600002,20.09653708299993,20.37876179099976,right,1.0,1,1,0.34424475000014354,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
7,1,1.0,20.450231540999994,20.939142415999868,20.939142415999868,20.94528199999968,21.22868108299963,right,1.0,0,0,0.31346720800002004,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
8,1,2.0,21.267361415999858,21.755789541000013,21.755789541000013,21.76196058300002,22.045120708000013,right,2.0,1,1,0.5235751669997626,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
9,1,2.0,22.300135332999616,22.789285082999868,22.789285082999868,22.795938957999624,23.078868540999792,left,-2.0,1,1,0.4165467500001796,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
10,1,2.0,23.216852540999753,23.70595670800003,23.70595670800003,23.711926208000023,23.994985541000005,left,-2.0,1,1,0.40299287500010905,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
11,1,1.0,24.12358020800002,24.612455832999785,24.612455832999785,24.612455832999785,24.90669754099963,right,1.0,1,1,0.49344095900005414,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
12,1,1.0,25.117075249999743,25.606034291000014,25.606034291000014,25.612081040999783,,left,-1.0,1,1,0.2700040419999823,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
13,1,1.0,25.889060915999835,26.3791057909998,26.3791057909998,26.3791057909998,26.673447290999775,right,1.0,1,1,0.294874291999804,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
14,0.5,1.0,26.6891620829997,27.179991332999634,27.179991332999634,27.179991332999634,27.479076165999686,left,-1.0,0,0,0.40506550000009156,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
15,0.5,1.5,27.600955624999642,28.08994116599979,28.08994116599979,28.095974290999948,28.379073874999904,right,1.5,0,0,0.4507178750004641,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
16,0.5,2.0,28.556442582999807,29.045928707999792,29.045928707999792,29.045928707999792,29.34025258299971,left,-2.0,1,1,0.4436100840002837,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
17,0.5,2.0,29.500093749999905,29.990143457999693,29.990143457999693,29.996219957999983,,left,-2.0,0,0,0.26202450000027966,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
18,0.5,2.5,30.26722837499983,30.756202332999692,30.756202332999692,30.762314499999775,31.045682374999615,right,2.5,1,1,0.4893678749999708,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
19,0.5,2.5,31.25824129099965,31.747780665999926,31.747780665999926,31.756311707999885,32.04031187500004,right,2.5,1,1,0.4817178339999373,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
20,0.5,2.5,32.24063020799986,32.7297377079999,32.7297377079999,32.7297377079999,33.02374679099967,right,2.5,1,1,0.43168945800016445,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
21,0.5,2.0,33.172968832999686,33.65634666599999,33.65634666599999,33.66255787499995,,right,2.0,1,1,0.2117868330001329,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
22,0.5,2.0,33.8831001249996,34.364155540999946,34.364155540999946,34.37873591599964,,left,-2.0,0,0,0.2470888749999176,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
23,0.5,2.5,34.62287712499983,35.106401290999656,35.106401290999656,35.112458499999775,35.39623616599965,left,-2.5,0,0,0.33401866700023675,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
24,0.5,3.0,35.45109666600001,35.94013604099973,35.94013604099973,35.94616729099971,36.229104707999795,left,-3.0,1,1,0.29169350000029226,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
25,0.5,3.0,36.25089066600003,36.73990458299977,36.73990458299977,36.74585083299962,,left,-3.0,1,1,0.2609570829999939,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
26,0.5,3.0,37.01671733299963,37.49736279099989,37.49736279099989,37.51216237499966,37.790500790999886,left,-3.0,1,1,0.40731395900047573,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
27,0.5,2.5,37.917653957999846,38.40664866599991,38.40664866599991,38.412693665999996,,right,2.5,0,0,0.26184574999979304,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
28,0.5,3.0,38.684080083000026,39.17329604099996,39.17329604099996,39.17949275000001,39.46189574999971,right,3.0,1,1,0.47439158399993175,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
29,0.5,3.0,39.6685541249999,40.156948249999914,40.156948249999914,40.16309295799965,40.445701582999845,right,3.0,1,1,0.38595970799997303,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
30,0.5,3.0,40.55612112499966,41.04016283299961,41.04016283299961,41.04671983299977,41.32991758299977,right,3.0,1,1,0.3544489579999208,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
31,0.5,2.5,41.40670420799961,41.896429665999676,41.896429665999676,41.896429665999676,42.19076604099973,left,-2.5,0,0,0.30333691700025156,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
32,0.5,3.0,42.21779079099997,42.70677216599961,42.70677216599961,42.71337929099991,42.99647629099991,left,-3.0,1,1,0.3953805840001223,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
33,0.5,3.0,43.11727633299961,43.606767124999806,43.606767124999806,43.61283383299997,43.896475540999745,left,-3.0,1,1,0.3517614580000554,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
34,0.5,3.0,43.973716624999724,44.463336290999905,44.463336290999905,44.463336290999905,44.757564332999664,right,3.0,0,0,0.3233946250002191,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
35,0.5,3.5,44.80109116599988,45.29030862499985,45.29030862499985,45.296374041000036,45.57910862499966,right,3.5,1,1,0.454071790999933,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
36,0.5,3.5,45.75684383299995,46.24671074999969,46.24671074999969,46.24671074999969,46.540908874999786,right,3.5,0,0,0.31570666700008587,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
37,0.5,4.0,46.57291091599973,47.057098666,47.057098666,47.06314583299991,47.346776082999895,right,4.0,0,0,0.40202329100020506,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
38,0.5,4.5,47.47332749999987,47.956999207999615,47.956999207999615,47.96307041599994,48.24783512499971,right,4.5,1,1,0.6453381249998529,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
39,0.5,4.5,48.61889533299973,49.1071848749998,49.1071848749998,49.113631124999756,49.39638708299981,left,-4.5,1,1,0.5058773750001819,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
40,0.5,4.5,49.640748124999845,50.11427824999964,50.11427824999964,50.129366040999685,50.40783674999966,right,4.5,1,1,0.3880847499999618,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
41,0.5,4.0,50.51785866599994,51.007269040999745,51.007269040999745,51.01337999999987,,left,-4.0,0,0,0.2715431249998801,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
42,0.5,4.5,51.2905123329997,51.77380745799974,51.77380745799974,51.77988183299976,52.063194332999956,right,4.5,0,0,0.5521021670001574,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
43,0.5,5.0,52.34118562499998,52.82996837499968,52.82996837499968,52.82996837499968,53.12451562499973,right,5.0,1,1,0.5367462080002952,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
44,0.5,5.0,53.385973165999985,53.873987957999816,53.873987957999816,53.87994491599966,54.163760915999774,right,5.0,1,1,0.28549670800020976,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
45,0.5,5.0,54.17357979099961,54.65725395799973,54.65725395799973,54.66383470799974,54.94664804099966,right,5.0,1,1,0.2861514580004041,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
46,0.5,4.5,54.95760845799987,55.440678790999755,55.440678790999755,55.446780750000016,55.73035820799987,left,-4.5,1,1,0.5677006250002705,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
47,0.5,4.5,56.01942658300004,56.507364957999926,56.507364957999926,56.51347787499981,56.797184749999815,left,-4.5,0,0,0.3363104999998541,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
48,0.5,5.0,56.85715879099962,57.34716283299986,57.34716283299986,57.34716283299986,57.64142570800004,right,5.0,1,1,0.33465795900019657,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
49,0.5,5.0,57.70161133299962,58.19080329099961,58.19080329099961,58.19701499999974,58.480527249999795,left,-5.0,1,1,0.31786558299972967,1,001,2023-09-01_11h47.00.037,Adaptive_Staircase,2023.1.3,None,
